"","Region","År","Utbildning","Kön","Region_kod","Utbildningskod","Förvärvsgrad","Matchad_förvärvsgrad","Skillnad_förvärsgrad","Antal_personer","Könsskillnad_mf","Andel_män","Andel nya förvärvsarbetande","Andel jobbytare","Andel totalt jobbinflöde"
"1","Blekinge","2007","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,6.7,8.2,14.9
"2","Blekinge","2007","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,13.9,16.7,30.6
"3","Blekinge","2007","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,7.7,9.4,17.1
"4","Blekinge","2007","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Blekinge","2007","Bygg","män",NA,NA,NA,NA,NA,NA,NA,NA,4.6,11.9,16.5
"6","Blekinge","2007","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,12,16.5
"7","Blekinge","2007","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.4,10.3,14.7
"8","Blekinge","2007","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,NA,5,9.8,14.8
"9","Blekinge","2007","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5,9.8,14.8
"10","Blekinge","2007","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Blekinge","2007","Fordon","män",NA,NA,NA,NA,NA,NA,NA,NA,3.7,12.6,16.3
"12","Blekinge","2007","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.9,12.6,16.5
"13","Blekinge","2007","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.3,9.7
"14","Blekinge","2007","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,NA,1.5,7.8,9.3
"15","Blekinge","2007","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,1.7,7.7,9.3
"16","Blekinge","2007","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.7,7.4,12.1
"17","Blekinge","2007","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,NA,3.7,12.5,16.2
"18","Blekinge","2007","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,8.7,13.2
"19","Blekinge","2007","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.3,6.3,11.5
"20","Blekinge","2007","Industri","män",NA,NA,NA,NA,NA,NA,NA,NA,3.4,9.2,12.6
"21","Blekinge","2007","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.6,8.9,12.5
"22","Blekinge","2007","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,10.3,16.2,26.5
"23","Blekinge","2007","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,NA,2.7,13.5,16.1
"24","Blekinge","2007","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,14.1,18.6
"25","Blekinge","2007","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,8.7,12.7,21.4
"26","Blekinge","2007","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,NA,8.7,18.3,27
"27","Blekinge","2007","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,8.7,15,23.7
"28","Blekinge","2007","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"29","Blekinge","2007","Transport","män",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2
"30","Blekinge","2007","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.2,16.9,21.1
"31","Blekinge","2007","VVS- och fastighet","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Blekinge","2007","VVS- och fastighet","män",NA,NA,NA,NA,NA,NA,NA,NA,3.8,11.3,15.1
"33","Blekinge","2007","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,3.8,11.3,15.1
"34","Blekinge","2007","Vård & omsorg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.3,8.8
"35","Blekinge","2007","Vård & omsorg","män",NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.5,10.3
"36","Blekinge","2007","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.4,8.9
"37","Blekinge","2008","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.3,14.1
"38","Blekinge","2008","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,NA,7.1,17.4,24.6
"39","Blekinge","2008","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,5.9,9.7,15.6
