"","Region","År","Utbildning","Kön","Utbildningskod","Förvärvsgrad","Matchad_förvärvsgrad","Skillnad_förvärsgrad","Antal_personer","Könsskillnad_mf","Andel_män","Andel nya förvärvsarbetande","Andel jobbytare","Andel totalt jobbinflöde","Förvärvsarbetande","Arbetslösa","Utanför_arbetsmarknaden","Totalt","Andel_arbetslösa","Andel_utanför_arbetsmarknaden","Region_kod"
"1","Blekinge","2006","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446,109,180,1787,6.09960828203693,10.0727476217124,"10"
"2","Blekinge","2006","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1796,76,148,2028,3.74753451676529,7.29783037475345,"10"
"3","Blekinge","2006","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2305,120,198,2688,4.46428571428571,7.36607142857143,"10"
"4","Blekinge","2006","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1556,69,100,1733,3.98153491055972,5.77034045008655,"10"
"5","Blekinge","2006","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2322,70,NA,2626,2.66565118050267,NA,"10"
"6","Blekinge","2006","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3819,235,734,4859,4.83638608767236,15.1059888866022,"10"
"7","Blekinge","2006","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4337,219,644,5225,4.19138755980861,12.3253588516746,"10"
"8","Blekinge","2006","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257,53,124,1449,3.65769496204279,8.5576259489303,"10"
"9","Blekinge","2006","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119,105,181,1436,7.31197771587744,12.6044568245125,"10"
"10","Blekinge","2006","Transport","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,31,NA,732,4.23497267759563,NA,"10"
"11","Blekinge","2006","VVS- och fastighet","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,19,29,560,3.39285714285714,5.17857142857143,"10"
"12","Blekinge","2006","Vård & omsorg","totalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4450,190,759,5448,3.48751835535977,13.931718061674,"10"
"13","Blekinge","2007","Barn- och fritid","kvinnor",NA,NA,NA,NA,NA,NA,NA,6.7,8.2,14.9,NA,NA,NA,NA,NA,NA,"10"
"14","Blekinge","2007","Barn- och fritid","män",NA,NA,NA,NA,NA,NA,NA,13.9,16.7,30.6,NA,NA,NA,NA,NA,NA,"10"
"15","Blekinge","2007","Barn- och fritid","totalt",NA,NA,NA,NA,NA,NA,NA,7.7,9.4,17.1,1518,78,182,1841,4.2368278109723,9.88593155893536,"10"
"16","Blekinge","2007","Bygg","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"17","Blekinge","2007","Bygg","män",NA,NA,NA,NA,NA,NA,NA,4.6,11.9,16.5,NA,NA,NA,NA,NA,NA,"10"
"18","Blekinge","2007","Bygg","totalt",NA,NA,NA,NA,NA,NA,NA,4.5,12,16.5,1857,54,164,2081,2.59490629505046,7.88082652570879,"10"
"19","Blekinge","2007","Data-, el- och energiteknik","kvinnor",NA,NA,NA,NA,NA,NA,NA,4.4,10.3,14.7,NA,NA,NA,NA,NA,NA,"10"
"20","Blekinge","2007","Data-, el- och energiteknik","män",NA,NA,NA,NA,NA,NA,NA,5,9.8,14.8,NA,NA,NA,NA,NA,NA,"10"
"21","Blekinge","2007","Data-, el- och energiteknik","totalt",NA,NA,NA,NA,NA,NA,NA,5,9.8,14.8,2383,112,214,2756,4.06386066763425,7.76487663280116,"10"
"22","Blekinge","2007","Fordon","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"23","Blekinge","2007","Fordon","män",NA,NA,NA,NA,NA,NA,NA,3.7,12.6,16.3,NA,NA,NA,NA,NA,NA,"10"
"24","Blekinge","2007","Fordon","totalt",NA,NA,NA,NA,NA,NA,NA,3.9,12.6,16.5,1606,66,101,1779,3.70994940978078,5.67734682405846,"10"
"25","Blekinge","2007","Gymnasieingenjör","kvinnor",NA,NA,NA,NA,NA,NA,NA,3.5,6.3,9.7,NA,NA,NA,NA,NA,NA,"10"
"26","Blekinge","2007","Gymnasieingenjör","män",NA,NA,NA,NA,NA,NA,NA,1.5,7.8,9.3,NA,NA,NA,NA,NA,NA,"10"
"27","Blekinge","2007","Gymnasieingenjör","totalt",NA,NA,NA,NA,NA,NA,NA,1.7,7.7,9.3,2228,39,247,2514,1.55131264916468,9.82498011137629,"10"
"28","Blekinge","2007","Handel- och administration","kvinnor",NA,NA,NA,NA,NA,NA,NA,4.7,7.4,12.1,NA,NA,NA,NA,NA,NA,"10"
"29","Blekinge","2007","Handel- och administration","män",NA,NA,NA,NA,NA,NA,NA,3.7,12.5,16.2,NA,NA,NA,NA,NA,NA,"10"
"30","Blekinge","2007","Handel- och administration","totalt",NA,NA,NA,NA,NA,NA,NA,4.5,8.7,13.2,3762,191,763,4760,4.01260504201681,16.0294117647059,"10"
"31","Blekinge","2007","Industri","kvinnor",NA,NA,NA,NA,NA,NA,NA,5.3,6.3,11.5,NA,NA,NA,NA,NA,NA,"10"
"32","Blekinge","2007","Industri","män",NA,NA,NA,NA,NA,NA,NA,3.4,9.2,12.6,NA,NA,NA,NA,NA,NA,"10"
"33","Blekinge","2007","Industri","totalt",NA,NA,NA,NA,NA,NA,NA,3.6,8.9,12.5,4334,166,649,5175,3.20772946859903,12.5410628019324,"10"
"34","Blekinge","2007","Naturbruk","kvinnor",NA,NA,NA,NA,NA,NA,NA,10.3,16.2,26.5,NA,NA,NA,NA,NA,NA,"10"
"35","Blekinge","2007","Naturbruk","män",NA,NA,NA,NA,NA,NA,NA,2.7,13.5,16.1,NA,NA,NA,NA,NA,NA,"10"
"36","Blekinge","2007","Naturbruk","totalt",NA,NA,NA,NA,NA,NA,NA,4.5,14.1,18.6,1274,46,116,1451,3.17022742935906,7.99448656099242,"10"
"37","Blekinge","2007","Restaurang- och livsmedel","kvinnor",NA,NA,NA,NA,NA,NA,NA,8.7,12.7,21.4,NA,NA,NA,NA,NA,NA,"10"
"38","Blekinge","2007","Restaurang- och livsmedel","män",NA,NA,NA,NA,NA,NA,NA,8.7,18.3,27,NA,NA,NA,NA,NA,NA,"10"
"39","Blekinge","2007","Restaurang- och livsmedel","totalt",NA,NA,NA,NA,NA,NA,NA,8.7,15,23.7,1171,82,210,1495,5.48494983277592,14.0468227424749,"10"
"40","Blekinge","2007","Transport","kvinnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,"10"
